,Time,Src,Dest,Rate(MB)
104,2020-02-25 10:30:37,192.168.250.1,192.168.250.3,0.0002079010009765625
105,2020-02-25 10:30:37,192.168.250.3,93.92.192.5,0.0027322769165039067
106,2020-02-25 10:30:37,93.92.192.5,217.15.20.194,0.002410888671875
107,2020-02-25 10:30:28,192.168.250.50,77.111.247.41,0.000194549560546875
108,2020-02-25 10:30:38,192.168.250.3,192.168.250.1,0.0001354217529296875
109,2020-02-25 10:30:38,192.168.250.1,192.168.250.3,0.0003070831298828125
110,2020-02-25 10:30:38,192.168.250.3,192.168.250.1,0.000118255615234375
111,2020-02-25 10:30:38,192.168.250.1,192.168.250.3,0.000118255615234375
112,2020-02-25 10:30:38,192.168.250.3,192.168.250.1,0.000133514404296875
113,2020-02-25 10:30:38,192.168.250.1,192.168.250.3,0.000133514404296875
114,2020-02-25 10:30:08,192.168.250.3,23.226.231.226,0.000293731689453125
115,2020-02-25 10:30:11,192.168.250.27,77.74.181.18,0.000934600830078125
116,2020-02-25 10:30:12,77.74.181.18,217.15.20.194,0.0005092620849609375
117,2020-02-25 10:21:32,192.168.250.3,23.226.231.226,0.000545501708984375
118,2020-02-25 10:30:46,192.168.250.35,192.168.250.1,0.0001220703125
119,2020-02-25 10:30:46,192.168.250.35,192.168.250.1,0.0001392364501953125
120,2020-02-25 10:30:46,192.168.250.1,192.168.250.35,0.0004425048828125
121,2020-02-25 10:30:46,192.168.250.1,192.168.250.35,0.0010089874267578123
122,2020-02-25 10:30:46,192.168.250.35,192.168.250.1,0.00016021728515625
123,2020-02-25 10:30:46,192.168.250.1,192.168.250.35,0.00011444091796875
124,2020-02-25 10:30:46,192.168.250.35,17.253.38.125,0.00014495849609375
125,2020-02-25 10:30:46,192.168.250.35,17.253.54.253,0.00014495849609375
126,2020-02-25 10:30:46,17.253.54.253,217.15.20.194,0.00014495849609375
127,2020-02-25 10:30:46,192.168.250.35,17.253.38.253,0.00014495849609375
128,2020-02-25 10:30:47,23.226.231.226,217.15.20.194,7.62939453125e-05
129,2020-02-25 10:30:38,92.118.38.58,217.15.20.194,0.0009832382202148438
130,2020-02-25 10:30:38,192.168.250.3,92.118.38.58,0.000926971435546875
131,2020-02-25 10:30:49,192.168.250.50,192.168.250.1,0.000286102294921875
132,2020-02-25 10:30:49,192.168.250.1,192.168.250.50,0.0010223388671875
133,2020-02-25 10:30:49,192.168.250.50,192.168.250.1,0.0003223419189453125
134,2020-02-25 10:30:49,192.168.250.1,192.168.250.50,0.0007457733154296875
135,2020-02-25 10:30:50,192.168.250.50,192.168.250.1,0.00018310546875
136,2020-02-25 10:30:50,192.168.250.1,192.168.250.50,0.0009937286376953123
137,2020-02-25 10:30:50,192.168.250.50,192.168.250.1,0.0001201629638671875
138,2020-02-25 10:30:50,192.168.250.1,192.168.250.50,0.0010051727294921877
139,2020-02-25 10:30:50,192.168.250.50,192.168.250.1,0.000141143798828125
140,2020-02-25 10:30:50,192.168.250.1,192.168.250.50,0.00089263916015625
141,2020-02-25 10:28:49,192.168.250.50,52.114.75.78,0.004664421081542969
142,2020-02-25 10:21:57,23.226.231.226,217.15.20.194,0.00011444091796875
143,2020-02-25 10:30:21,192.168.250.3,23.226.231.226,0.000293731689453125
144,2020-02-25 10:30:55,35.239.58.193,217.15.20.194,0.0001163482666015625
145,2020-02-25 10:30:55,192.168.250.247,35.239.58.193,0.0002765655517578125
146,2020-02-25 10:30:56,192.168.250.57,192.168.250.1,0.0001220703125
147,2020-02-25 10:30:56,192.168.250.1,192.168.250.57,0.0001220703125
148,2020-02-25 10:31:00,23.226.231.226,217.15.20.194,7.62939453125e-05
149,2020-02-25 10:21:44,192.168.250.3,23.226.231.226,0.000545501708984375
